127.0.0.1, 2018-09-24 16:01:02, GET, /, HTTP/1.1, 303, 0.016029
127.0.0.1, 2018-09-24 16:01:02, GET, /welcome/default/index, HTTP/1.1, 200, 0.167239
127.0.0.1, 2018-09-24 16:01:02, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000361
127.0.0.1, 2018-09-24 16:01:02, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.000738
127.0.0.1, 2018-09-24 16:01:02, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.000989
127.0.0.1, 2018-09-24 16:01:02, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.000931
127.0.0.1, 2018-09-24 16:01:02, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.001031
127.0.0.1, 2018-09-24 16:01:02, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.000728
127.0.0.1, 2018-09-24 16:01:02, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.000428
127.0.0.1, 2018-09-24 16:01:02, GET, /welcome/static/js/bootstrap.bundle.min.js, HTTP/1.1, 200, 0.000467
127.0.0.1, 2018-09-24 16:01:02, GET, /welcome/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.000317
127.0.0.1, 2018-09-24 16:01:03, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000395
127.0.0.1, 2018-09-24 16:01:11, GET, /start/, HTTP/1.1, 200, 0.072165
127.0.0.1, 2018-09-24 16:01:11, GET, /start/static/css/stupid.css, HTTP/1.1, 200, 0.000912
127.0.0.1, 2018-09-24 16:01:11, GET, /start/static/css/custom.css, HTTP/1.1, 200, 0.000542
127.0.0.1, 2018-09-24 16:01:11, GET, /start/static/css/calendar.css, HTTP/1.1, 200, 0.001725
127.0.0.1, 2018-09-24 16:01:11, GET, /start/static/css/myapp.css, HTTP/1.1, 200, 0.001268
127.0.0.1, 2018-09-24 16:01:11, GET, /start/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 200, 0.000840
127.0.0.1, 2018-09-24 16:01:11, GET, /start/static/css/web2py.css, HTTP/1.1, 200, 0.001062
127.0.0.1, 2018-09-24 16:01:11, GET, /start/static/js/jquery.js, HTTP/1.1, 200, 0.001584
127.0.0.1, 2018-09-24 16:01:11, GET, /start/static/js/calendar.js, HTTP/1.1, 200, 0.001115
